นี่คือข้อมูล `project_structure` ทั้งหมดที่ดึงมาจากฐานข้อมูล (ชีท `all_project_relation`) โดยจัดให้อยู่ในรูปแบบ CSV และทำการ Normalization แยกคอลัมน์ `Module`, `BU`, `Department` ตามคอนเซปต์เดียวกันกับรอบที่แล้ว เพื่อให้นำไปคัดลอกและ Import เข้าฐานข้อมูลได้ทันทีครับ

**ชื่อไฟล์:** `tb_map_project_structure_full.csv`

```csv
Holding,department_operator,Project_Type,Project_Name,Module,BU,Department
Real Estate,IT,Management,Policy,,Corporate,IT
Real Estate,IMP,Management,Policy,,Corporate,IMP
Real Estate,IMP&IT,Management,Policy,,Corporate,IMP&IT
Double A,IT,Management,Policy,,Corporate,IT
Double A,IMP,Management,Policy,,Corporate,IMP
Double A,IMP&IT,Management,Policy,,Corporate,IMP&IT
Real Estate,IT,Management,TeamOps,,Corporate,IT
Real Estate,IMP,Management,TeamOps,,Corporate,IMP
Real Estate,IMP&IT,Management,TeamOps,,Corporate,IMP&IT
Double A,IT,Management,TeamOps,,Corporate,IT
Double A,IMP,Management,TeamOps,,Corporate,IMP
Double A,IMP&IT,Management,TeamOps,,Corporate,IMP&IT
Double A,IT,Project,Web Marketing,AA Affiliate,Sale - Domestic,Sale&Marketing
Double A,IT,Project,Web Marketing,AA Delivery,Sale - Domestic,Sale&Marketing
Double A,IT,Project,ERP - Netsuite,Integration Item ShipTo Country,Sale - Export,Sale
Double A,IT,Project,ERP - Netsuite,Log Record,MFG,All
Double A,IT,Project,ERP - Netsuite,Transfer Raw Material from WH to Production,Production,Planner Production
Double A,IT,Project,ERP - Netsuite,UOM Master,Master Data,IT
Double A,IMP,Support Go-Live,ERP - Netsuite,Item Master,Master Data,IT
Double A,IMP,Project,ERP - Netsuite,FX Currency - Integration ERP,Fin - All,Financial
Double A,IMP,Project,ERP - Netsuite,FX Currency - Scraping data,Fin - All,Financial
Double A,IMP,Project,ERP - Netsuite,FX Currency - Web app monitor,Fin - All,Financial
Double A,IMP,Project,WMS,Warehouse DDS,Double A Stationary,Warehouse
Double A,IMP,Project,WMS,Warehouse Double A,Double A,Warehouse
Double A,IT,Project,ERP - Netsuite,Function Readiness - O2C,O2C - Export,Sale
Double A,IT,Project,ERP - Netsuite,Function Readiness - O2C,Sale - Domestic,Sale
Double A,IT,Project,ERP - Netsuite,Function Readiness - MRP,Production,Winder
Double A,IT,Project,ERP - Netsuite,Function Readiness - MRP,Production,Converting
Double A,IT,Project,ERP - Netsuite,Function Readiness - MRP,Production,DAPK
Double A,IT,Project,ERP - Netsuite,Function Readiness - MRP,Production,Book Plant
Double A,IT,Project,ERP - Netsuite,Function Readiness - MPS,Production,Paper
Double A,IT,Project,ERP - Netsuite,Function Readiness - ABB,Production,Winder
Double A,IT,Project,ERP - Netsuite,Function Readiness - MFG,Production,Wood
Double A,IT,Project,ERP - Netsuite,Function Readiness - MFG,Production,Pulp
Double A,IT,Project,ERP - Netsuite,Function Readiness - MFG,Production,Paper
Double A,IT,Project,ERP - Netsuite,Function Readiness - MFG,Production,Winder
Double A,IT,Project,ERP - Netsuite,Function Readiness - MFG,Production,Converting
Double A,IT,Project,ERP - Netsuite,Function Readiness - MFG,Production,DAPK
Double A,IT,Project,ERP - Netsuite,Function Readiness - MFG,Production,Book Plant
Double A,IT,Project,ERP - Netsuite,Function Readiness - MFG,Production,All Department
Double A,IT,Project,ERP - Netsuite,Function Readiness - WMS,Factory OH,Warehouse
Double A,IT,Project,ERP - Netsuite,Function Readiness - P2P,Production,All Department
Double A,IMP,Project,WMS,ระบบตรวจนับทรัพย์สิน DA Pack,DAPK,Accounting
Double A,IT,Project,ERP - Netsuite,ERP/Accouting System for TSS,,,
Double A,IMP,Project,Print Service,,DACP,Planner
Double A,IMP,Project,Print Service,,DACP,Technician
Double A,IMP,Project,Print Service,,DACP,Sales
Double A,IMP,Project,Print Service,,DACP,Marketing
Double A,IMP,Project,Print Service,,DACP,Sale&Marketing
All Holding,IMP,Support MA,Application form - Website,Appscript,Corporate,HR Recruit
All Holding,IMP,Project,Application form - Website,Antigravity,Corporate,HR Recruit
All Holding,IMP,Support MA,Application form - Website,Antigravity,Corporate,HR Recruit
Double A,IMP,Support MA,Application form - Website,Appscript,Corporate,HR Recruit
Double A,IMP,Support MA,Application form - Website,Antigravity,Corporate,HR Recruit
Double A,IMP,Project,Application form - Website,Antigravity,Corporate,HR Recruit
Real Estate,IMP,Project,304 CRM,,IP,CRM
Real Estate,IMP,Support MA,304 CRM,,IP,CRM
Real Estate,IMP,Project,Contractor Grading System (CGS) ระบบประเมินเกรด ผู้รับเหมา,,Housing,CCP
Real Estate,IMP,Project,Contractor Grading System (CGS) ระบบประเมินเกรด ผู้รับเหมา,,Housing,Construction
Real Estate,IMP,Project,AI Chatbot,,Housing,Juristic
Real Estate,IMP,Support MA,Application form - Website,Appscript,Corporate,HR Recruit
Real Estate,IMP,Support MA,Application form - Website,Antigravity,Corporate,HR Recruit
Real Estate,IMP,Project,Application form - Website,Antigravity,Corporate,HR Recruit
Real Estate,IMP,Support MA,Daily task project IP,บันทึกการทำงานพนักงานกวาดถนน,Housing,Juristic
Real Estate,IMP,Support MA,Daily task project IP,บันทึกการทำงานพนักงานทำความสะอาด,Housing,Juristic
